,X,Y,Z,W,X.1,Y.1,Z.1,Frame number
155,0.584764,0.653822,0.398911,-0.267279,-1.026706,0.413407,1.089498,1366
156,0.584845,0.654086,0.398583,-0.266945,-1.026713,0.413408,1.089503,1366
157,0.584824,0.654292,0.398422,-0.266725,-1.026729,0.413424,1.089514,1366
158,0.584978,0.654463,0.398042,-0.266537,-1.026706,0.413423,1.089507,1400
159,0.585097,0.655133,0.397156,-0.265948,-1.026693,0.413467,1.08953,1400
160,0.584921,0.654244,0.398333,-0.266764,-1.026717,0.413425,1.089499,1400
161,0.584824,0.65376,0.399,-0.267167,-1.026714,0.413398,1.089504,1400
162,0.585021,0.654505,0.397945,-0.266483,-1.02671,0.413427,1.089504,1400
163,0.584914,0.65479,0.397788,-0.266252,-1.026707,0.413425,1.089525,1400
164,0.585084,0.655297,0.397004,-0.265801,-1.026683,0.413457,1.089517,1433
165,0.58466,0.653351,0.39959,-0.267644,-1.026745,0.413382,1.08949,1433
166,0.585021,0.654353,0.398094,-0.266633,-1.026707,0.413423,1.089505,1433
167,0.58481,0.654268,0.398489,-0.266715,-1.026701,0.413419,1.089515,1433
168,0.58494,0.655242,0.397323,-0.265776,-1.026708,0.413452,1.089537,1433
169,0.584963,0.654514,0.397971,-0.266549,-1.026702,0.413439,1.089512,1433
170,0.585012,0.654929,0.397492,-0.266136,-1.026704,0.413446,1.089519,1433
171,0.58491,0.654914,0.397619,-0.266209,-1.026699,0.41344,1.089515,1466
172,0.584839,0.65392,0.398712,-0.267172,-1.026714,0.413394,1.089496,1466
173,0.585052,0.655309,0.397143,-0.265635,-1.026693,0.413471,1.089552,1466
174,0.585082,0.65523,0.397057,-0.26589,-1.02669,0.413454,1.089519,1466
175,0.584833,0.654499,0.398205,-0.266523,-1.026711,0.413411,1.089524,1466
176,0.584756,0.653343,0.399522,-0.267557,-1.026742,0.413375,1.089496,1466
177,0.584875,0.654477,0.398145,-0.266574,-1.02671,0.413428,1.089524,1466
178,0.584792,0.653537,0.399169,-0.267529,-1.026722,0.413404,1.089486,1500
179,0.584918,0.653909,0.398668,-0.267092,-1.026716,0.413407,1.089489,1500
180,0.584936,0.654069,0.39852,-0.266882,-1.026722,0.413423,1.089489,1500
181,0.58484,0.653729,0.398883,-0.267381,-1.026721,0.413432,1.089484,1500
182,0.584863,0.654602,0.397971,-0.266552,-1.026693,0.413438,1.08952,1500
183,0.584722,0.654473,0.398326,-0.26665,-1.026701,0.413428,1.089528,1500
184,0.58469,0.653932,0.398985,-0.26706,-1.026728,0.413403,1.089504,1533
185,0.584911,0.654963,0.397631,-0.266067,-1.026695,0.413452,1.089533,1533
186,0.584902,0.654456,0.398046,-0.266714,-1.026708,0.413447,1.08951,1533
187,0.584813,0.654424,0.398283,-0.266634,-1.026708,0.413434,1.089531,1533
188,0.585005,0.655052,0.397295,-0.266144,-1.0267,0.41346,1.089517,1533
189,0.584851,0.653992,0.398682,-0.267015,-1.026728,0.413411,1.089501,1533
190,0.584826,0.65411,0.3985,-0.267052,-1.026713,0.413428,1.089499,1533
191,0.584873,0.65431,0.398258,-0.266818,-1.026714,0.413433,1.089512,1566
192,0.584867,0.654776,0.397906,-0.266215,-1.026696,0.413452,1.089545,1566
193,0.585013,0.654689,0.397767,-0.266315,-1.026699,0.413427,1.089514,1566
194,0.584911,0.654335,0.398199,-0.266764,-1.026698,0.41342,1.089507,1566
195,0.584924,0.654776,0.39769,-0.266411,-1.026693,0.413445,1.08952,1566
196,0.584589,0.652974,0.399939,-0.268197,-1.026724,0.413391,1.089466,1566
197,0.584814,0.6539,0.398843,-0.267081,-1.026706,0.413402,1.089488,1566
198,0.584882,0.654347,0.398345,-0.266579,-1.026709,0.413417,1.089524,1600
